	ASGS	T1	T2	T4	P1	P2	P3
51	104011082	20.26	10.25	3.58	1410.86	186.70	42.04
52	104021083	17.47	12.37	4.28	1482.07	221.96	36.87
53	104021086	18.42	11.45	4.08	1576.37	232.90	43.64
54	104021087	15.11	12.15	4.31	1425.38	215.90	36.94
55	104021089	19.08	10.75	3.85	1667.84	250.92	42.03
56	104021090	19.35	10.96	3.87	1630.19	242.23	40.90
57	104021091	19.01	11.00	3.95	1422.44	197.35	40.03
58	105011092	21.17	14.14	6.37	360.76	52.99	13.45
59	105011093	19.34	13.46	6.16	392.37	56.75	20.13
60	105011094	19.80	14.34	6.10	525.60	90.46	24.03
61	105011095	19.88	13.66	6.17	459.22	66.40	19.37
62	105011096	20.72	14.06	6.17	495.28	83.84	20.18
63	105021097	18.70	12.45	5.67	290.91	31.87	16.93
64	105021098	19.84	13.65	6.04	285.48	37.51	15.23
65	105031099	17.68	14.15	5.74	685.51	119.46	37.15
66	105031100	17.78	14.07	6.02	549.57	82.43	31.86
67	105031101	17.87	14.08	6.02	543.18	82.76	31.64
68	105031102	17.96	14.08	6.04	537.08	84.07	30.96
69	105031103	17.46	13.82	5.91	587.43	87.16	34.74
70	105031104	17.72	14.65	6.02	652.62	111.13	32.85
71	105031105	18.44	13.86	6.07	519.09	80.96	30.10
72	105031106	16.62	13.68	5.76	627.02	86.07	40.76
73	106011107	18.49	12.69	4.56	757.47	108.60	31.09
74	106011109	17.61	11.51	4.26	919.90	130.77	36.58
75	106011110	17.18	11.12	4.24	1142.41	167.83	39.93
76	106011111	18.66	12.30	4.42	864.93	117.03	33.76
77	106011112	18.78	13.03	4.65	709.28	105.37	29.87
78	106011113	17.64	12.48	4.60	781.35	117.76	31.07
79	106021114	18.79	12.17	4.37	924.77	124.64	35.16
